"part","lab","freq","mod","ssvep","ssvepSNR","ssvepZ","ssvepSNR_Z"
"FL_01","Florida","6Hz","square",9.504,5.00763342690154,0.215436494382221,-0.325189232868269
"FL_02","Florida","6Hz","square",3.77295,3.97403274521387,-0.624615433575545,-0.649831683351662
"FL_03","Florida","6Hz","square",12.8925,5.40148187251372,0.712119642825332,-0.201485827125695
"FL_04","Florida","6Hz","square",1.737605,1.53138150907977,-0.922954392633519,-1.41704120345382
"FL_05","Florida","6Hz","square",40.57185,11.0153008955915,4.76933277691381,1.56175213944231
"FL_06","Florida","6Hz","square",26.452,11.7987012745648,2.69965842143367,1.8078094643313
"FL_07","Florida","6Hz","square",14.6675,8.73169858103077,0.972297476228467,0.844498112366716
"FL_08","Florida","6Hz","square",6.40705,3.45876141642382,-0.238511528805293,-0.811672662954251
"FL_09","Florida","6Hz","square",2.60725,2.36885082683017,-0.795482645067395,-1.15400142771062
"FL_10","Florida","6Hz","square",8.1727,4.53911121314001,0.0202957903768165,-0.472346836647221
"FL_11","Florida","6Hz","square",11.1673,9.86503338461878,0.459241446663592,1.20046593860128
"FL_12","Florida","6Hz","square",12.1315,8.89179083054303,0.600572977349396,0.894781303066821
"FL_13","Florida","6Hz","square",12.8734,7.90747361928332,0.709319982758853,0.585618241182454
"FL_14","Florida","6Hz","square",6.5784,7.53440268464063,-0.213395206690574,0.468440819986506
"FL_15","Florida","6Hz","square",5.4378,5.53928900675204,-0.380583283749512,-0.158202142675937
"LE_01","Leipzig","6Hz","square",1.78235,4.2449791305694,-0.440474373000629,-1.41745990301009
"LE_02","Leipzig","6Hz","square",2.75775,9.12881636274059,0.23230734389683,-0.304443227782747
"LE_03","Leipzig","6Hz","square",6.5083,14.1137716781234,2.81924754105673,0.831618055082248
"LE_04","Leipzig","6Hz","square",3.40955,10.4461386057722,0.681886104480964,-0.004228140047276
"LE_05","Leipzig","6Hz","square",1.603,5.90658349466716,-0.564180955864643,-1.03878361284037
"LE_06","Leipzig","6Hz","square",6.79475,16.0174206171472,3.01682630136561,1.26545581670035
"LE_07","Leipzig","6Hz","square",3.8425,16.581618892473,0.980513174740093,1.39403546805228
"LE_08","Leipzig","6Hz","square",3.82755,7.25111614895458,0.970201418878276,-0.732367327147679
"LE_09","Leipzig","6Hz","square",2.1984,8.31673766784688,-0.153504070237468,-0.489514327830799
"LE_10","Leipzig","6Hz","square",6.4728,13.9771610781008,2.79476143181964,0.800484774301224
"LE_11","Leipzig","6Hz","square",6.13845,8.94429893741417,2.56414366777959,-0.34649437762564
"LE_12","Leipzig","6Hz","square",2.82175,11.0657585997294,0.276451315479193,0.136982009430222
"LE_13","Leipzig","6Hz","square",3.29665,9.24281435306982,0.60401337961145,-0.278463315237132
"LE_14","Leipzig","6Hz","square",2.1023,5.35468903553364,-0.21978900256661,-1.16455924924668
"LE_15","Leipzig","6Hz","square",3.0554,20.2355650066588,0.437611299232619,2.22676243296443
"FL_01","Florida","6Hz","sine",9.3688,5.06825483910377,0.195619005325261,-0.306148723164887
"FL_02","Florida","6Hz","sine",4.66295,5.00810886282597,-0.494160069221297,-0.325039903745052
"FL_03","Florida","6Hz","sine",11.0136,5.82314220001586,0.436712244976797,-0.0690470193567092
"FL_04","Florida","6Hz","sine",3.6378,3.14701739259571,-0.644425593679451,-0.909587985198291
"FL_05","Florida","6Hz","sine",34.27915,10.8829579436372,3.84695471930485,1.52018469372766
"FL_06","Florida","6Hz","sine",18.114,8.59153905259397,1.47748221021376,0.800475567126107
"FL_07","Florida","6Hz","sine",15.001,7.59414210055155,1.02118159309604,0.487204304488183
"FL_08","Florida","6Hz","sine",6.3869,3.65570123556661,-0.241465096885898,-0.749816061447487
"FL_09","Florida","6Hz","sine",2.14315,1.21252496449808,-0.863509987310998,-1.51719048916892
"FL_10","Florida","6Hz","sine",8.4715,4.3192501029273,0.0640936138251862,-0.54140276012911
"FL_11","Florida","6Hz","sine",8.11185,5.43704254805759,0.0113764545105738,-0.190316615404048
"FL_12","Florida","6Hz","sine",11.074,6.28258290898037,0.445565620265557,0.0752581850153741
"FL_13","Florida","6Hz","sine",6.88245,4.26460686225101,-0.168827843171575,-0.558565592806947
"FL_14","Florida","6Hz","sine",4.7045,5.83059726079462,-0.488069709233748,-0.0667054678827235
"FL_15","Florida","6Hz","sine",4.43465,4.00469584259897,-0.527624068864078,-0.640200746326489
"LE_01","Leipzig","6Hz","sine",1.2872,5.21704415458614,-0.782003865641369,-1.19592824056873
"LE_02","Leipzig","6Hz","sine",1.3163,4.21331725780681,-0.761932153562513,-1.42467558008498
"LE_03","Leipzig","6Hz","sine",5.09325,15.5816443594646,1.84321743187511,1.16614328468683
"LE_04","Leipzig","6Hz","sine",2.6631,15.0041269659429,0.16702254842385,1.03452823310622
"LE_05","Leipzig","6Hz","sine",1.01862,5.52906192525473,-0.967256801384981,-1.12482001864975
"LE_06","Leipzig","6Hz","sine",4.68965,13.5665141485099,1.56483451108383,0.706899165580536
"LE_07","Leipzig","6Hz","sine",2.4581,14.3234026311918,0.0256238894490919,0.879392527350062
"LE_08","Leipzig","6Hz","sine",2.9679,7.91876411889219,0.377258213084857,-0.580211698612965
"LE_09","Leipzig","6Hz","sine",2.08875,9.85717808241804,-0.229135109050064,-0.138451057884435
"LE_10","Leipzig","6Hz","sine",3.8874,13.9757866637905,1.01148292980335,0.800171548046289
"LE_11","Leipzig","6Hz","sine",3.50075,10.6858054226475,0.744791263985832,0.0503914451272147
"LE_12","Leipzig","6Hz","sine",2.9167,16.3608010904583,0.341943035818966,1.34371153542602
"LE_13","Leipzig","6Hz","sine",2.01545,7.74066558701344,-0.27969375150299,-0.620799995558815
"LE_14","Leipzig","6Hz","sine",1.64275,5.93613080988301,-0.53676341101466,-1.03204983917429
"LE_15","Leipzig","6Hz","sine",2.1189,15.3844571410593,-0.208339159937435,1.12120471450248
"FL_01","Florida","8.57Hz","square",6.09964,3.90048695018273,-0.283571397969495,-0.672931597607401
"FL_02","Florida","8.57Hz","square",4.91895,4.45718220884514,-0.456635829586817,-0.498079823468129
"FL_03","Florida","8.57Hz","square",11.76795,5.84188664087195,0.547284159696602,-0.0631595994659582
"FL_04","Florida","8.57Hz","square",3.21565,3.94219406692018,-0.706303944311076,-0.659831857233646
"FL_05","Florida","8.57Hz","square",27.66065,9.40851769441177,2.87682120359857,1.05707945000984
"FL_06","Florida","8.57Hz","square",17.2775,8.57033019725855,1.35486882562688,0.793814102123206
"FL_07","Florida","8.57Hz","square",10.55255,5.88065435030757,0.369131968869464,-0.0509830941542
"FL_08","Florida","8.57Hz","square",8.32695,4.70256090719818,0.0429056105472015,-0.421009110047463
"FL_09","Florida","8.57Hz","square",1.175505,0.808925090735593,-1.0053464828622,-1.64395670977464
"FL_10","Florida","8.57Hz","square",4.048,2.23659177595774,-0.58429886282764,-1.19554252103084
"FL_11","Florida","8.57Hz","square",5.8611,4.23708524931278,-0.318536367197655,-0.567209824591832
"FL_12","Florida","8.57Hz","square",8.56265,4.09420286967713,0.0774542952419163,-0.612087587036876
"FL_13","Florida","8.57Hz","square",12.4895,8.59215060599789,0.65304828121324,0.800667649232058
"FL_14","Florida","8.57Hz","square",4.2471,5.58774417847381,-0.555114971768167,-0.14298291346581
"FL_15","Florida","8.57Hz","square",5.91835,8.86765197797902,-0.310144715951272,0.887199558601015
"LE_01","Leipzig","8.57Hz","square",1.377585,5.03389217355716,-0.71966085202462,-1.23766820840454
"LE_02","Leipzig","8.57Hz","square",1.82325,5.79283064727515,-0.412263616161275,-1.06470765780401
"LE_03","Leipzig","8.57Hz","square",5.54865,14.8399966122698,2.15732937966587,0.997123255858873
"LE_04","Leipzig","8.57Hz","square",1.99125,14.368697346346,-0.296385690757571,0.889715101766404
"LE_05","Leipzig","8.57Hz","square",0.79538,6.92439115871552,-1.12123649226071,-0.806827294804687
"LE_06","Leipzig","8.57Hz","square",4.28955,11.5310225559531,1.28886571373846,0.243014728589649
"LE_07","Leipzig","8.57Hz","square",2.8618,7.65939793781323,0.30407578519597,-0.639320729239398
"LE_08","Leipzig","8.57Hz","square",3.2006,13.552202719883,0.537762934760106,0.703637619801897
"LE_09","Leipzig","8.57Hz","square",2.32445,9.68216248638449,-0.0665611387068905,-0.178336759956368
"LE_10","Leipzig","8.57Hz","square",5.2044,19.6645370933055,1.91988309502167,2.09662632085247
"LE_11","Leipzig","8.57Hz","square",4.9772,11.3923304566267,1.76317199590428,0.211407078306864
"LE_12","Leipzig","8.57Hz","square",3.7993,11.8836129711639,0.950715993921998,0.323369374536876
"LE_13","Leipzig","8.57Hz","square",2.01345,8.34359819614676,-0.281073250614939,-0.483392867495011
"LE_14","Leipzig","8.57Hz","square",2.1553,8.27222250652474,-0.183232276099966,-0.49965924349785
"LE_15","Leipzig","8.57Hz","square",2.72365,11.3661078284529,0.208786884038102,0.205430994125876
"FL_01","Florida","8.57Hz","sine",5.776,3.7055590335565,-0.331010245294898,-0.734156282964451
"FL_02","Florida","8.57Hz","sine",5.0238,5.45742418659977,-0.441267015033398,-0.183914969973245
"FL_03","Florida","8.57Hz","sine",9.3007,4.78559284787805,0.185636971266245,-0.394929703204683
