"lab","freq","mod","electrode","x","y","amplitude"
"Florida","6Hz","square","E1",86.719831310897,82.7208230943671,2.23793133333333
"Florida","6Hz","square","E2",60.5117564493148,76.717478004812,1.922616
"Florida","6Hz","square","E3",35.2634825458284,69.6677676887961,2.781348
"Florida","6Hz","square","E4",23.6192388587642,58.8318312797812,2.829876
"Florida","6Hz","square","E5",11.4069836172611,43.8485528695707,2.04446766666667
"Florida","6Hz","square","E6",0,28.614,2.47539606666667
"Florida","6Hz","square","E7",-9.06629877496366,11.5485593631021,3.17470666666667
"Florida","6Hz","square","E8",51.097415472918,96.8083637295249,2.51701733333333
"Florida","6Hz","square","E9",26.8737792539972,88.585411736964,2.413478
"Florida","6Hz","square","E10",16.0697667431522,76.4350039760624,2.466802
"Florida","6Hz","square","E11",0,64.048,2.42287533333333
"Florida","6Hz","square","E12",-11.4069836172611,43.8485528695707,2.80254533333333
"Florida","6Hz","square","E13",-18.7176485153145,25.0067456910559,2.29935846666667
"Florida","6Hz","square","E14",14.1187002915317,105.342066422099,3.32629066666667
"Florida","6Hz","square","E15",0,90.726,2.278818
"Florida","6Hz","square","E16",0,79.014,2.466492
"Florida","6Hz","square","E17",0,114.908,3.34808533333333
"Florida","6Hz","square","E18",-16.0697667431522,76.4350039760624,2.80504666666667
"Florida","6Hz","square","E19",-23.6192388587642,58.8318312797812,2.58774266666667
"Florida","6Hz","square","E20",-31.3121246459833,41.9182840077502,2.04092733333333
"Florida","6Hz","square","E21",-14.1187002915317,105.342066422099,3.240498
"Florida","6Hz","square","E22",-26.8737792539972,88.585411736964,2.92522533333333
"Florida","6Hz","square","E23",-35.2634825458284,69.6677676887961,2.95878733333333
"Florida","6Hz","square","E24",-39.5281102525102,53.3724044414846,2.42784173333333
"Florida","6Hz","square","E25",-51.097415472918,96.8083637295249,2.89848666666667
"Florida","6Hz","square","E26",-60.5117564493148,76.717478004812,2.06042933333333
"Florida","6Hz","square","E27",-56.2717346283799,54.0022587112168,2.109322
"Florida","6Hz","square","E28",-50.0298983002845,37.5034658673461,1.437204
"Florida","6Hz","square","E29",-39.6304283909149,22.4510456227002,2.290174
"Florida","6Hz","square","E30",-28.5960902390953,7.43167134886356,3.90847266666667
"Florida","6Hz","square","E31",-14.2590609871468,-4.99065843399723,3.442024
