"lab","freq","mod","electrode","x","y","amplitude"
"Florida","6Hz","square","E1",86.719831310897,82.7208230943671,0.178623333333333
"Florida","6Hz","square","E2",60.5117564493148,76.717478004812,0.148227466666667
"Florida","6Hz","square","E3",35.2634825458284,69.6677676887961,0.22393506
"Florida","6Hz","square","E4",23.6192388587642,58.8318312797812,0.217204666666667
"Florida","6Hz","square","E5",11.4069836172611,43.8485528695707,0.192953466666667
"Florida","6Hz","square","E6",0,28.614,0.1924304
"Florida","6Hz","square","E7",-9.06629877496366,11.5485593631021,0.303804
"Florida","6Hz","square","E8",51.097415472918,96.8083637295249,0.152836066666667
"Florida","6Hz","square","E9",26.8737792539972,88.585411736964,0.1710154
"Florida","6Hz","square","E10",16.0697667431522,76.4350039760624,0.1675156
"Florida","6Hz","square","E11",0,64.048,0.2032962
"Florida","6Hz","square","E12",-11.4069836172611,43.8485528695707,0.229291933333333
"Florida","6Hz","square","E13",-18.7176485153145,25.0067456910559,0.261394066666667
"Florida","6Hz","square","E14",14.1187002915317,105.342066422099,0.2178328
"Florida","6Hz","square","E15",0,90.726,0.1841508
"Florida","6Hz","square","E16",0,79.014,0.169519666666667
"Florida","6Hz","square","E17",0,114.908,0.216482666666667
"Florida","6Hz","square","E18",-16.0697667431522,76.4350039760624,0.1724842
"Florida","6Hz","square","E19",-23.6192388587642,58.8318312797812,0.2180798
"Florida","6Hz","square","E20",-31.3121246459833,41.9182840077502,0.181400466666667
"Florida","6Hz","square","E21",-14.1187002915317,105.342066422099,0.216492266666667
"Florida","6Hz","square","E22",-26.8737792539972,88.585411736964,0.216865866666667
"Florida","6Hz","square","E23",-35.2634825458284,69.6677676887961,0.196547733333333
"Florida","6Hz","square","E24",-39.5281102525102,53.3724044414846,0.2173124
"Florida","6Hz","square","E25",-51.097415472918,96.8083637295249,0.215776133333333
"Florida","6Hz","square","E26",-60.5117564493148,76.717478004812,0.1374408
"Florida","6Hz","square","E27",-56.2717346283799,54.0022587112168,0.1843586
"Florida","6Hz","square","E28",-50.0298983002845,37.5034658673461,0.146801733333333
"Florida","6Hz","square","E29",-39.6304283909149,22.4510456227002,0.2409214
"Florida","6Hz","square","E30",-28.5960902390953,7.43167134886356,0.2958798
"Florida","6Hz","square","E31",-14.2590609871468,-4.99065843399723,0.253974933333333
"Florida","6Hz","square","E32",-86.719831310897,82.7208230943671,0.167794933333333
"Florida","6Hz","square","E33",-86.5427774390136,55.8179182444255,0.154627746666667
"Florida","6Hz","square","E34",-73.2735964589411,31.8739532843394,0.119033266666667
"Florida","6Hz","square","E35",-58.7070104036568,13.6367088941921,0.182096133333333
"Florida","6Hz","square","E36",-45.139000940819,2.34746545549408,0.355561733333333
"Florida","6Hz","square","E37",-29.3939238752213,-11.4188613800894,0.271814666666667
"Florida","6Hz","square","E38",-111.066561880691,61.2336542760814,0.201427533333333
"Florida","6Hz","square","E39",-106.979294016482,12.6447944916077,0.203231
"Florida","6Hz","square","E40",-82.0312253490634,0.356499272328901,0.215518
"Florida","6Hz","square","E41",-62.3658981365752,-7.23363018257962,0.264506733333333
"Florida","6Hz","square","E42",-48.4277069849025,-19.0176228846936,0.263951933333333
"Florida","6Hz","square","E43",-132.385776483018,49.089223063604,0.2558192
"Florida","6Hz","square","E44",-127.856243406767,23.8953117140088,0.195923933333333
"Florida","6Hz","square","E45",-102.023724252225,-26.0624191069444,0.2724588
