"part","lab","freq","mod","pli","pliZ"
"FL_01","Florida","6Hz","square",0.605515,0.457565678713906
"FL_02","Florida","6Hz","square",0.49517,-0.116352424278049
"FL_03","Florida","6Hz","square",0.679065,0.840108399046122
"FL_04","Florida","6Hz","square",0.13288,-2.00066788517755
"FL_05","Florida","6Hz","square",0.57384,0.292820054423995
"FL_06","Florida","6Hz","square",0.970435,2.35556009752603
"FL_07","Florida","6Hz","square",0.76253,1.27422027059647
"FL_08","Florida","6Hz","square",0.322255,-1.01570489859817
"FL_09","Florida","6Hz","square",0.15757,-1.87225211678867
"FL_10","Florida","6Hz","square",0.504275,-0.0689961840520149
"FL_11","Florida","6Hz","square",0.71974,1.0516641454705
"FL_12","Florida","6Hz","square",0.68821,0.88767268425942
"FL_13","Florida","6Hz","square",0.633715,0.604237394735231
"FL_14","Florida","6Hz","square",0.589835,0.376012043706304
"FL_15","Florida","6Hz","square",0.59009,0.377338330500114
"LE_01","Leipzig","6Hz","square",0.834625,-0.0388723127413337
"LE_02","Leipzig","6Hz","square",0.855495,0.15825201405046
"LE_03","Leipzig","6Hz","square",0.98525,1.38383260930054
"LE_04","Leipzig","6Hz","square",0.97461,1.28333415040908
"LE_05","Leipzig","6Hz","square",0.923035,0.796190539758066
"LE_06","Leipzig","6Hz","square",0.981645,1.34978214461034
"LE_07","Leipzig","6Hz","square",0.94137,0.969370919812092
"LE_08","Leipzig","6Hz","square",0.921695,0.783533778957825
"LE_09","Leipzig","6Hz","square",0.82301,-0.148579981916545
"LE_10","Leipzig","6Hz","square",0.974485,1.28215348242399
"LE_11","Leipzig","6Hz","square",0.82057,-0.171626620985638
"LE_12","Leipzig","6Hz","square",0.794635,-0.416591614533562
"LE_13","Leipzig","6Hz","square",0.96996,1.23941330136347
"LE_14","Leipzig","6Hz","square",0.931495,0.876098148989429
"LE_15","Leipzig","6Hz","square",0.954305,1.09154644290993
"FL_01","Florida","6Hz","sine",0.566085,0.252485332518131
"FL_02","Florida","6Hz","sine",0.54964,0.166952837129099
"FL_03","Florida","6Hz","sine",0.685165,0.871835259603926
"FL_04","Florida","6Hz","sine",0.33064,-0.972093468142895
"FL_05","Florida","6Hz","sine",0.6042,0.450726199757593
"FL_06","Florida","6Hz","sine",0.91925,2.08934053069797
"FL_07","Florida","6Hz","sine",0.743,1.17264230556468
"FL_08","Florida","6Hz","sine",0.41773,-0.519127519621717
"FL_09","Florida","6Hz","sine",0.1295745,-2.0178602028126
"FL_10","Florida","6Hz","sine",0.52785,0.0536203303168762
"FL_11","Florida","6Hz","sine",0.630115,0.585513345881445
"FL_12","Florida","6Hz","sine",0.64574,0.666780919031559
"FL_13","Florida","6Hz","sine",0.511175,-0.0331084237489246
"FL_14","Florida","6Hz","sine",0.5788,0.318617632844767
"FL_15","Florida","6Hz","sine",0.422675,-0.493407958071169
"LE_01","Leipzig","6Hz","sine",0.76812,-0.667034907532335
"LE_02","Leipzig","6Hz","sine",0.55326,-2.69646149375585
"LE_03","Leipzig","6Hz","sine",0.982435,1.35724396627615
"LE_04","Leipzig","6Hz","sine",0.938985,0.94684377465644
"LE_05","Leipzig","6Hz","sine",0.83126,-0.0706558949001442
"LE_06","Leipzig","6Hz","sine",0.972335,1.26184599308032
"LE_07","Leipzig","6Hz","sine",0.91805,0.749105500512397
"LE_08","Leipzig","6Hz","sine",0.917365,0.742635439954066
"LE_09","Leipzig","6Hz","sine",0.8253,-0.126950144429569
"LE_10","Leipzig","6Hz","sine",0.96194,1.16366164343965
"LE_11","Leipzig","6Hz","sine",0.81813,-0.194673260054732
"LE_12","Leipzig","6Hz","sine",0.851335,0.118959383506432
"LE_13","Leipzig","6Hz","sine",0.957135,1.11827676609252
"LE_14","Leipzig","6Hz","sine",0.92051,0.772341046459105
