"part","lab","freq","mod","ssvep","ssvepSNR","ssvepZ","ssvepSNR_Z"
"FL_01","Florida","6Hz","square",14.077,6.32318921953958,0.168830238360949,-0.662759434570729
"FL_02","Florida","6Hz","square",7.6706,5.25851785836704,-0.689345022872909,-0.988224131909082
"FL_03","Florida","6Hz","square",17.236,6.91618598585544,0.591997016932028,-0.481483296120776
"FL_04","Florida","6Hz","square",10.99725,4.28129288446378,-0.243720532865477,-1.28695690707515
"FL_05","Florida","6Hz","square",48.1205,12.722297498265,4.72915889498789,1.29341588405248
"FL_06","Florida","6Hz","square",28.2395,15.4523193937155,2.06598107771293,2.12796989041868
"FL_07","Florida","6Hz","square",18.445,7.23141913415076,0.753949734656761,-0.385118103120788
"FL_08","Florida","6Hz","square",16.16,4.41578314569898,0.447860437716301,-1.2458439084878
"FL_09","Florida","6Hz","square",12.2335,3.89062922384595,-0.0781175160853264,-1.40638082951826
"FL_10","Florida","6Hz","square",19.563,6.22163563216563,0.903712462875332,-0.693803857088009
"FL_11","Florida","6Hz","square",14.3815,8.44059042756111,0.20961981863157,-0.0154805009534798
"FL_12","Florida","6Hz","square",17.1655,6.41077830893337,0.582553123962968,-0.635983889074421
"FL_13","Florida","6Hz","square",16.786,6.63550385911512,0.53171684904441,-0.567286415054319
"FL_14","Florida","6Hz","square",9.57155,6.27241599633022,-0.434701500326315,-0.678280554352265
"FL_15","Florida","6Hz","square",7.8954,6.63633746524925,-0.659231730114828,-0.567031585838433
"LE_01","Leipzig","6Hz","square",15.0895,7.99750897695804,-0.348092256685802,-1.21493964740664
"LE_02","Leipzig","6Hz","square",48.9755,18.1661551015866,3.33609328232776,0.593639387084641
"LE_03","Leipzig","6Hz","square",43.55,10.5901162967421,2.74621697229063,-0.753822682005175
"LE_04","Leipzig","6Hz","square",20.292,10.2539225346775,0.217538837769668,-0.813617563461829
"LE_05","Leipzig","6Hz","square",21.831,15.3901466684996,0.384863442165049,0.0999029948335447
"LE_06","Leipzig","6Hz","square",17.5645,10.4917494213395,-0.0790029806113587,-0.771318056154412
"LE_07","Leipzig","6Hz","square",24.014,13.9756441780274,0.622205619809699,-0.151678141647116
"LE_08","Leipzig","6Hz","square",12.9,7.9586643016889,-0.586141133439334,-1.22184849883409
"LE_09","Leipzig","6Hz","square",20.5565,11.5497310128805,0.246296055354189,-0.583147152979372
"LE_10","Leipzig","6Hz","square",43.436,19.1948384815944,2.73382255715023,0.7765993575084
"LE_11","Leipzig","6Hz","square",21.4485,14.7003187005243,0.343276917680817,-0.0227886973538821
"LE_12","Leipzig","6Hz","square",11.787,10.4919054242003,-0.707149765467962,-0.771290309736663
"LE_13","Leipzig","6Hz","square",39.603,21.9313037338539,2.31708752878929,1.26330266325758
"LE_14","Leipzig","6Hz","square",26.992,16.1585201592385,0.945982534617654,0.236564667289974
"LE_15","Leipzig","6Hz","square",27.078,10.8390040829397,0.955332707442867,-0.70955590090757
"FL_01","Florida","6Hz","sine",14.465,5.6733277116467,0.22080513867294,-0.861418839427142
"FL_02","Florida","6Hz","sine",8.03995,6.02322401812972,-0.639868400630039,-0.754457292754291
"FL_03","Florida","6Hz","sine",14.821,5.7477482718168,0.268493449268477,-0.838668847293571
"FL_04","Florida","6Hz","sine",9.6526,4.03275469490924,-0.423844372310112,-1.3629337855659
"FL_05","Florida","6Hz","sine",39.925,10.3036246564383,3.63132308182573,0.554039722418288
"FL_06","Florida","6Hz","sine",19.362,8.51198522865904,0.876787321218863,0.00634453180149028
"FL_07","Florida","6Hz","sine",18.393,8.06515972024292,0.746984026367525,-0.130247785943909
"FL_08","Florida","6Hz","sine",15.7315,4.6727459046827,0.390460322294425,-1.16729168135946
"FL_09","Florida","6Hz","sine",12.557,4.35032652566301,-0.034782773170561,-1.26585366906344
"FL_10","Florida","6Hz","sine",16.4925,4.72398656631984,0.492400783988819,-1.15162766799408
"FL_11","Florida","6Hz","sine",11.2761,5.85467289719626,-0.20636692216445,-0.805982525385919
"FL_12","Florida","6Hz","sine",15.0385,5.39081963687201,0.297628863747493,-0.947780141520326
"FL_13","Florida","6Hz","sine",12.5355,5.2169298957488,-0.0376628256363028,-1.00093736357858
"FL_14","Florida","6Hz","sine",8.3874,6.12386602172127,-0.593325413224366,-0.723691536829029
"FL_15","Florida","6Hz","sine",7.70305,6.35853729002435,-0.684998152988569,-0.651953706642489
"LE_01","Leipzig","6Hz","sine",13.7,8.40258824250974,-0.499162781576888,-1.14289290116286
"LE_02","Leipzig","6Hz","sine",29.7815,16.6588820987568,1.24926517526802,0.325558236579238
"LE_03","Leipzig","6Hz","sine",24.1445,11.3157894736842,0.636393963457261,-0.624755618639539
"LE_04","Leipzig","6Hz","sine",20.0185,10.2029790649966,0.187803113726695,-0.822678286991768
"LE_05","Leipzig","6Hz","sine",15.217,14.4082641341502,-0.334230081857724,-0.0747330525018536
"LE_06","Leipzig","6Hz","sine",13.795,10.4531332878685,-0.488834102293222,-0.778186259505466
"LE_07","Leipzig","6Hz","sine",15.431,9.75457117119965,-0.31096337273452,-0.902431393322944
"LE_08","Leipzig","6Hz","sine",10.29335,7.73151312577459,-0.86954378454214,-1.26224924140922
"LE_09","Leipzig","6Hz","sine",12.794,8.30065041441617,-0.597665765061108,-1.16102339921068
"LE_10","Leipzig","6Hz","sine",36.6535,20.4508236738224,1.99640921776643,0.999986862438213
"LE_11","Leipzig","6Hz","sine",17.1715,13.5904772080618,-0.121731095963785,-0.220183319044446
"LE_12","Leipzig","6Hz","sine",8.71915,9.50106379790836,-1.04069543641947,-0.94751980674635
"LE_13","Leipzig","6Hz","sine",28.177,20.0195385353203,1.0748192183139,0.923279181806743
"LE_14","Leipzig","6Hz","sine",17.6395,12.3344521362142,-0.0708487601242549,-0.443577916899211
"LE_15","Leipzig","6Hz","sine",20.546,11.0057047968503,0.245154464485995,-0.679906780216546
"FL_01","Florida","8.57Hz","square",10.6978,7.05206084477332,-0.283833635696471,-0.439947032963577
"FL_02","Florida","8.57Hz","square",6.91805,8.81252189420719,-0.790153556970303,0.0982170837070682
"FL_03","Florida","8.57Hz","square",20.603,7.90621372449322,1.04302662866005,-0.178836779962539
"FL_04","Florida","8.57Hz","square",9.0586,6.44682857397029,-0.503414193921767,-0.62496350379207
"FL_05","Florida","8.57Hz","square",37.368,15.7107420643263,3.28879777229542,2.20696840521206
"FL_06","Florida","8.57Hz","square",19.1275,13.9655015058866,0.845374655952982,1.67345711632983
"FL_07","Florida","8.57Hz","square",16.0125,8.06451612903226,0.428101938242026,-0.130444528550339
"FL_08","Florida","8.57Hz","square",13.867,7.05107670403986,0.140699493346727,-0.440247879851764
"FL_09","Florida","8.57Hz","square",9.9818,5.24929662643633,-0.379746080602103,-0.991043016279288
"FL_10","Florida","8.57Hz","square",12.06575,6.22965420210912,-0.100588623114544,-0.691352620457702
"FL_11","Florida","8.57Hz","square",11.6285,7.70022845412707,-0.159160852912013,-0.241805444398149
"FL_12","Florida","8.57Hz","square",16.109,6.83069551482514,0.441028685355704,-0.507617304504873
"FL_13","Florida","8.57Hz","square",16.0975,8.46179118207504,0.439488192176354,-0.00899953658939586
"FL_14","Florida","8.57Hz","square",6.64145,7.77760211729436,-0.827205766831892,-0.218152703483838
"FL_15","Florida","8.57Hz","square",8.10955,11.3918573901928,-0.630545067996754,0.886707013229055
"LE_01","Leipzig","8.57Hz","square",12.925,10.7726736650845,-0.583423059943632,-0.721353322276332
"LE_02","Leipzig","8.57Hz","square",42.5905,34.551701199033,2.64189731152561,3.50794624537492
"LE_03","Leipzig","8.57Hz","square",33.2045,14.6533539276258,1.62142379829946,-0.0311417762773608
"LE_04","Leipzig","8.57Hz","square",26.547,11.8295549490336,0.897600826394169,-0.533378118038763
"LE_05","Leipzig","8.57Hz","square",14.849,21.0514377257245,-0.37424012371445,1.10681111109214
