"part","lab","freq","mod","ssvepSNR","ssvepSNR_Z"
"FL_01","Florida","6Hz","square",7.75048883333333,-0.658703979278939
"FL_02","Florida","6Hz","square",6.59405617021277,-0.971598861932573
"FL_03","Florida","6Hz","square",7.73706615853659,-0.662335739596132
"FL_04","Florida","6Hz","square",5.02843725,-1.39520687988529
"FL_05","Florida","6Hz","square",12.5080154117647,0.628535449312529
"FL_06","Florida","6Hz","square",17.4345526595745,1.96150393351512
"FL_07","Florida","6Hz","square",8.36453417647059,-0.492562316463496
"FL_08","Florida","6Hz","square",5.07869073333333,-1.38160984283162
"FL_09","Florida","6Hz","square",4.62245708333333,-1.5050525463559
"FL_10","Florida","6Hz","square",9.49474626373626,-0.186761910009703
"FL_11","Florida","6Hz","square",11.3423783505155,0.313150141436386
"FL_12","Florida","6Hz","square",8.10922861702128,-0.56164009817294
"FL_13","Florida","6Hz","square",7.71551314516129,-0.668167317867794
"FL_14","Florida","6Hz","square",8.21155924050633,-0.533952598979664
"FL_15","Florida","6Hz","square",8.4335453030303,-0.473890041773132
"LE_01","Leipzig","6Hz","square",8.87230514705882,-1.2428947973549
"LE_02","Leipzig","6Hz","square",13.873728313253,-0.4733332279592
"LE_03","Leipzig","6Hz","square",20.9491755319149,0.615355348239247
"LE_04","Leipzig","6Hz","square",15.8225362903226,-0.173473033080763
"LE_05","Leipzig","6Hz","square",11.7213988372093,-0.804508974222082
"LE_06","Leipzig","6Hz","square",22.9436267045455,0.922238593965605
"LE_07","Leipzig","6Hz","square",17.727288,0.119608289234923
"LE_08","Leipzig","6Hz","square",11.5496457954545,-0.830936360181877
"LE_09","Leipzig","6Hz","square",8.95436094936709,-1.2302689926781
"LE_10","Leipzig","6Hz","square",19.4823304054054,0.389654062803716
"LE_11","Leipzig","6Hz","square",11.8481584337349,-0.785004662989712
"LE_12","Leipzig","6Hz","square",11.3048903846154,-0.868596512467452
"LE_13","Leipzig","6Hz","square",16.2952983333333,-0.100729838257894
"LE_14","Leipzig","6Hz","square",11.2579609782609,-0.87581747066373
"LE_15","Leipzig","6Hz","square",16.1596431818182,-0.121602895351372
"FL_01","Florida","6Hz","sine",7.3051978358209,-0.779185939756778
"FL_02","Florida","6Hz","sine",7.45246102272727,-0.739341079735328
"FL_03","Florida","6Hz","sine",6.78504230769231,-0.919923924877547
"FL_04","Florida","6Hz","sine",4.96349052941176,-1.41277945212858
"FL_05","Florida","6Hz","sine",10.060573373494,-0.0336666086091532
"FL_06","Florida","6Hz","sine",9.05633430232558,-0.305382616250723
"FL_07","Florida","6Hz","sine",9.89386860215054,-0.0787717595883311
"FL_08","Florida","6Hz","sine",5.05596869230769,-1.38775772379962
"FL_09","Florida","6Hz","sine",5.36069777777778,-1.30530746579495
"FL_10","Florida","6Hz","sine",6.40903666666667,-1.02165941253521
"FL_11","Florida","6Hz","sine",7.0905488172043,-0.837263319991372
"FL_12","Florida","6Hz","sine",6.85990369791667,-0.899668749927428
"FL_13","Florida","6Hz","sine",6.55730618181818,-0.981542271240312
"FL_14","Florida","6Hz","sine",8.49476450617284,-0.457326020369807
"FL_15","Florida","6Hz","sine",8.25707986486487,-0.521636127064602
"LE_01","Leipzig","6Hz","sine",8.68490333333333,-1.27173003666298
"LE_02","Leipzig","6Hz","sine",9.08210866666667,-1.21061264076686
