"lab","freq","mod","electrode","x","y","amplitude","amplitudeSNR"
"Florida","6Hz","square","E1",86.719831310897,82.7208230943671,12.1441733333333,4.10712703361694
"Florida","6Hz","square","E2",60.5117564493148,76.717478004812,13.8117666666667,4.24397262218405
"Florida","6Hz","square","E3",35.2634825458284,69.6677676887961,11.6007466666667,4.3328574725246
"Florida","6Hz","square","E4",23.6192388587642,58.8318312797812,11.51828,4.45082383871537
"Florida","6Hz","square","E5",11.4069836172611,43.8485528695707,10.5714933333333,4.50293641844982
"Florida","6Hz","square","E6",0,28.614,11.2771533333333,4.69937876254887
"Florida","6Hz","square","E7",-9.06629877496366,11.5485593631021,9.40339333333333,4.59973078850586
"Florida","6Hz","square","E8",51.097415472918,96.8083637295249,16.28342,4.34728158547169
"Florida","6Hz","square","E9",26.8737792539972,88.585411736964,15.9793266666667,4.23476125043609
"Florida","6Hz","square","E10",16.0697667431522,76.4350039760624,13.2389266666667,4.47388299599198
"Florida","6Hz","square","E11",0,64.048,12.2304333333333,4.48753724628197
"Florida","6Hz","square","E12",-11.4069836172611,43.8485528695707,10.6433466666667,4.6247527436348
"Florida","6Hz","square","E13",-18.7176485153145,25.0067456910559,9.10614666666667,4.71005321551506
"Florida","6Hz","square","E14",14.1187002915317,105.342066422099,15.92986,4.50892607155439
"Florida","6Hz","square","E15",0,90.726,14.9463466666667,4.4572508213999
"Florida","6Hz","square","E16",0,79.014,13.31194,4.43133477404298
"Florida","6Hz","square","E17",0,114.908,13.4512266666667,4.54906883242944
"Florida","6Hz","square","E18",-16.0697667431522,76.4350039760624,12.5398866666667,4.31348767146407
"Florida","6Hz","square","E19",-23.6192388587642,58.8318312797812,10.0988733333333,4.41351004538675
"Florida","6Hz","square","E20",-31.3121246459833,41.9182840077502,9.51735333333333,4.28701923330381
"Florida","6Hz","square","E21",-14.1187002915317,105.342066422099,14.5989533333333,4.4773032543961
"Florida","6Hz","square","E22",-26.8737792539972,88.585411736964,15.5692133333333,4.44893941491378
"Florida","6Hz","square","E23",-35.2634825458284,69.6677676887961,12.46848,4.39250640507732
"Florida","6Hz","square","E24",-39.5281102525102,53.3724044414846,10.1372,4.31953580919132
"Florida","6Hz","square","E25",-51.097415472918,96.8083637295249,16.4782466666667,4.41494212036323
"Florida","6Hz","square","E26",-60.5117564493148,76.717478004812,15.4820333333333,4.27902847155997
"Florida","6Hz","square","E27",-56.2717346283799,54.0022587112168,9.88261333333333,4.12242543354689
"Florida","6Hz","square","E28",-50.0298983002845,37.5034658673461,9.24875333333333,4.24364791499445
"Florida","6Hz","square","E29",-39.6304283909149,22.4510456227002,8.61049333333333,4.55392819136188
"Florida","6Hz","square","E30",-28.5960902390953,7.43167134886356,11.2208733333333,4.8892053376059
"Florida","6Hz","square","E31",-14.2590609871468,-4.99065843399723,11.8161733333333,4.75692041718602
"Florida","6Hz","square","E32",-86.719831310897,82.7208230943671,11.31036,4.32495533995735
