"lab","freq","mod","electrode","x","y","amplitudeSNR"
"Florida","6Hz","square","E1",86.719831310897,82.7208230943671,5.12768102290553
"Florida","6Hz","square","E2",60.5117564493148,76.717478004812,5.66596845387275
"Florida","6Hz","square","E3",35.2634825458284,69.6677676887961,5.62242338130202
"Florida","6Hz","square","E4",23.6192388587642,58.8318312797812,5.59324869477017
"Florida","6Hz","square","E5",11.4069836172611,43.8485528695707,5.50178642907418
"Florida","6Hz","square","E6",0,28.614,5.71162761150226
"Florida","6Hz","square","E7",-9.06629877496366,11.5485593631021,5.55670800461979
"Florida","6Hz","square","E8",51.097415472918,96.8083637295249,6.00584113491549
"Florida","6Hz","square","E9",26.8737792539972,88.585411736964,5.83377263779197
"Florida","6Hz","square","E10",16.0697667431522,76.4350039760624,5.73469358295372
"Florida","6Hz","square","E11",0,64.048,5.66689344567233
"Florida","6Hz","square","E12",-11.4069836172611,43.8485528695707,5.55088275862194
"Florida","6Hz","square","E13",-18.7176485153145,25.0067456910559,5.71559227880443
"Florida","6Hz","square","E14",14.1187002915317,105.342066422099,6.11018938803845
"Florida","6Hz","square","E15",0,90.726,5.84174071542648
"Florida","6Hz","square","E16",0,79.014,5.51118082501075
"Florida","6Hz","square","E17",0,114.908,5.87479057676329
"Florida","6Hz","square","E18",-16.0697667431522,76.4350039760624,5.1619174410946
"Florida","6Hz","square","E19",-23.6192388587642,58.8318312797812,5.27742234589344
"Florida","6Hz","square","E20",-31.3121246459833,41.9182840077502,5.10479474709207
"Florida","6Hz","square","E21",-14.1187002915317,105.342066422099,5.9391988515097
"Florida","6Hz","square","E22",-26.8737792539972,88.585411736964,5.96035809381946
"Florida","6Hz","square","E23",-35.2634825458284,69.6677676887961,5.38371792396471
"Florida","6Hz","square","E24",-39.5281102525102,53.3724044414846,5.30351168026188
"Florida","6Hz","square","E25",-51.097415472918,96.8083637295249,6.13940274047149
"Florida","6Hz","square","E26",-60.5117564493148,76.717478004812,5.58465749064927
"Florida","6Hz","square","E27",-56.2717346283799,54.0022587112168,5.04186633654082
"Florida","6Hz","square","E28",-50.0298983002845,37.5034658673461,5.15530679540524
"Florida","6Hz","square","E29",-39.6304283909149,22.4510456227002,5.51002595227658
"Florida","6Hz","square","E30",-28.5960902390953,7.43167134886356,5.84573159804575
"Florida","6Hz","square","E31",-14.2590609871468,-4.99065843399723,5.72768296536503
"Florida","6Hz","square","E32",-86.719831310897,82.7208230943671,5.32567494299785
"Florida","6Hz","square","E33",-86.5427774390136,55.8179182444255,5.24554138385886
"Florida","6Hz","square","E34",-73.2735964589411,31.8739532843394,5.19398666567441
"Florida","6Hz","square","E35",-58.7070104036568,13.6367088941921,5.00982727372915
"Florida","6Hz","square","E36",-45.139000940819,2.34746545549408,5.74105441254926
"Florida","6Hz","square","E37",-29.3939238752213,-11.4188613800894,5.81101880895521
"Florida","6Hz","square","E38",-111.066561880691,61.2336542760814,5.22474598220979
"Florida","6Hz","square","E39",-106.979294016482,12.6447944916077,5.02601114399794
"Florida","6Hz","square","E40",-82.0312253490634,0.356499272328901,4.99123874086599
"Florida","6Hz","square","E41",-62.3658981365752,-7.23363018257962,5.26732088469593
"Florida","6Hz","square","E42",-48.4277069849025,-19.0176228846936,5.41947417203253
"Florida","6Hz","square","E43",-132.385776483018,49.089223063604,5.48341769938031
"Florida","6Hz","square","E44",-127.856243406767,23.8953117140088,4.97629919024426
"Florida","6Hz","square","E45",-102.023724252225,-26.0624191069444,5.1603075402972
"Florida","6Hz","square","E46",-77.0757795587277,-24.2279722926707,5.34480218887073
"Florida","6Hz","square","E47",-61.3490707363697,-27.4299165836118,5.63359054220109
"Florida","6Hz","square","E48",-147.073602828489,55.1905344696692,5.61270487560374
"Florida","6Hz","square","E49",-148.427539841507,9.81951733019121,5.49591240817498
"Florida","6Hz","square","E50",-87.6147402607277,-51.9804690729627,5.79750203384227
"Florida","6Hz","square","E51",-64.3973497966683,-45.8325114211031,5.63672760362455
"Florida","6Hz","square","E52",-49.3286473753904,-38.0293353099208,5.77741931552853
"Florida","6Hz","square","E53",-31.8703858461666,-30.6802729781934,5.84171666123041
"Florida","6Hz","square","E54",-16.3380561246601,-24.5721384105547,6.22040115267504
"Florida","6Hz","square","E55",1.86009153028893e-15,-15.1888,5.83414374008044
"Florida","6Hz","square","E56",-134.514184844694,-53.5568924748948,5.65245738457873
"Florida","6Hz","square","E57",-107.771903337525,-61.2478444600876,5.72591434612801
"Florida","6Hz","square","E58",-72.0824426385969,-68.7392048197634,6.00508420488956
"Florida","6Hz","square","E59",-49.0164711950736,-60.6384229311954,6.41300234243049
"Florida","6Hz","square","E60",-33.5739711579434,-49.4397118183913,6.42923113105273
"Florida","6Hz","square","E61",-17.5616376782163,-41.0535015078989,6.48413373610505
"Florida","6Hz","square","E62",6.24863782796946e-15,-51.024,6.77613908647987
"Florida","6Hz","square","E63",-111.844618176326,-90.215004411638,6.02075766893116
"Florida","6Hz","square","E64",-82.7166311762146,-89.8591836311575,5.56641520806708
"Florida","6Hz","square","E65",-53.2724548220446,-83.4923179534095,6.59485473612852
"Florida","6Hz","square","E66",-32.9982073155436,-70.0930032026051,6.21538698482784
"Florida","6Hz","square","E67",-14.9843695227892,-59.7435310808167,6.57667678265178
"Florida","6Hz","square","E68",-70.8544927411257,-119.808404222733,6.45009418072668
"Florida","6Hz","square","E69",-50.7971288111611,-109.433046236237,5.86166937132216
"Florida","6Hz","square","E70",-29.8089612459443,-93.6860097636664,7.15500449229086
"Florida","6Hz","square","E71",-12.5941162529112,-75.6650426009803,7.99219269649104
"Florida","6Hz","square","E72",8.04078595384169e-15,-65.658,7.60162817424084
"Florida","6Hz","square","E73",-34.2137515878335,-132.964697639208,7.13910848108554
"Florida","6Hz","square","E74",-15.7052501655887,-118.019611578908,7.79093932049921
"Florida","6Hz","square","E75",1.18239648457677e-14,-96.55,10.2694638002854
"Florida","6Hz","square","E76",12.5941162529112,-75.6650426009803,8.75043455366029
"Florida","6Hz","square","E77",14.9843695227892,-59.7435310808167,8.21230900975401
"Florida","6Hz","square","E78",17.5616376782163,-41.0535015078989,6.63824589093077
"Florida","6Hz","square","E79",16.3380561246601,-24.5721384105547,6.11060744227432
"Florida","6Hz","square","E80",14.2590609871468,-4.99065843399723,5.29323817360385
"Florida","6Hz","square","E81",1.66253150865048e-14,-135.756,6.85390545258532
"Florida","6Hz","square","E82",15.7052501655887,-118.019611578908,7.39609093066612
"Florida","6Hz","square","E83",29.8089612459443,-93.6860097636664,7.92004831060844
"Florida","6Hz","square","E84",32.9982073155436,-70.0930032026051,6.84663647400142
"Florida","6Hz","square","E85",33.5739711579434,-49.4397118183913,6.20353739956695
"Florida","6Hz","square","E86",31.8703858461666,-30.6802729781934,6.47633159622063
"Florida","6Hz","square","E87",29.3939238752213,-11.4188613800894,5.96556663570952
"Florida","6Hz","square","E88",34.2137515878335,-132.964697639208,6.20256237926671
"Florida","6Hz","square","E89",50.7971288111611,-109.433046236237,5.69183683466586
"Florida","6Hz","square","E90",53.2724548220446,-83.4923179534095,5.97729896513407
"Florida","6Hz","square","E91",49.0164711950736,-60.6384229311954,6.7341286698004
"Florida","6Hz","square","E92",49.3286473753904,-38.0293353099208,6.35306976072523
"Florida","6Hz","square","E93",48.4277069849025,-19.0176228846936,5.70590329428304
"Florida","6Hz","square","E94",70.8544927411257,-119.808404222733,6.17967062291123
"Florida","6Hz","square","E95",82.7166311762146,-89.8591836311575,5.46485738582314
"Florida","6Hz","square","E96",72.0824426385969,-68.7392048197634,6.73607176794644
