part,lab,gender,freq,mod,ssvepZ,ssvepSNR_Z
FL_01,Florida,Female,6Hz,square,0.215436494,-0.325189233
FL_02,Florida,Female,6Hz,square,-0.624615434,-0.649831683
FL_03,Florida,Male,6Hz,square,0.712119643,-0.201485827
FL_04,Florida,Female,6Hz,square,-0.922954393,-1.417041203
FL_05,Florida,Female,6Hz,square,4.769332777,1.561752139
FL_06,Florida,Female,6Hz,square,2.699658421,1.807809464
FL_07,Florida,Female,6Hz,square,0.972297476,0.844498112
FL_08,Florida,Female,6Hz,square,-0.238511529,-0.811672663
FL_09,Florida,Female,6Hz,square,-0.795482645,-1.154001428
FL_10,Florida,Female,6Hz,square,0.02029579,-0.472346837
FL_11,Florida,Male,6Hz,square,0.459241447,1.200465939
FL_12,Florida,Female,6Hz,square,0.600572977,0.894781303
FL_13,Florida,Male,6Hz,square,0.709319983,0.585618241
FL_14,Florida,Male,6Hz,square,-0.213395207,0.46844082
FL_15,Florida,Male,6Hz,square,-0.380583284,-0.158202143
LE_01,Leipzig,Female,6Hz,square,-0.440474373,-1.417459903
LE_02,Leipzig,Female,6Hz,square,0.232307344,-0.304443228
LE_03,Leipzig,Female,6Hz,square,2.819247541,0.831618055
LE_04,Leipzig,Male,6Hz,square,0.681886104,-0.00422814
LE_05,Leipzig,Female,6Hz,square,-0.564180956,-1.038783613
LE_06,Leipzig,Female,6Hz,square,3.016826301,1.265455817
LE_07,Leipzig,Male,6Hz,square,0.980513175,1.394035468
LE_08,Leipzig,Female,6Hz,square,0.970201419,-0.732367327
LE_09,Leipzig,Female,6Hz,square,-0.15350407,-0.489514328
LE_10,Leipzig,Female,6Hz,square,2.794761432,0.800484774
LE_11,Leipzig,Female,6Hz,square,2.564143668,-0.346494378
LE_12,Leipzig,Female,6Hz,square,0.276451315,0.136982009
LE_13,Leipzig,Male,6Hz,square,0.60401338,-0.278463315
LE_14,Leipzig,Female,6Hz,square,-0.219789003,-1.164559249
LE_15,Leipzig,Female,6Hz,square,0.437611299,2.226762433
FL_01,Florida,Female,6Hz,sine,0.195619005,-0.306148723
FL_02,Florida,Female,6Hz,sine,-0.494160069,-0.325039904
FL_03,Florida,Male,6Hz,sine,0.436712245,-0.069047019
FL_04,Florida,Female,6Hz,sine,-0.644425594,-0.909587985
FL_05,Florida,Female,6Hz,sine,3.846954719,1.520184694
FL_06,Florida,Female,6Hz,sine,1.47748221,0.800475567
FL_07,Florida,Female,6Hz,sine,1.021181593,0.487204304
